val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp
641.8799765820313,725.1780861523438,660.4490686523437,702.1920306054687,706.537579453125,615.8314783007812,616.1502201806641,531.0286086425781,531.4949989257813
657.1343762695312,717.8872730664062,658.2085400585937,704.5096828027343,704.1810767773437,631.9782054882812,632.3260990625,525.6837677490234,526.2935524414063
656.2946481054687,714.3161777832031,663.1246439257812,714.6746403808594,700.1210159082032,622.7281875390624,623.1594511035156,545.3116631396484,545.8508262792968
645.4111659277344,706.900306640625,661.8852350195313,702.8200875292969,707.9324025585937,629.500195390625,629.9121361132812,546.8557911523437,547.411701171875
652.7387770410156,714.7414846875,660.5288742578125,704.8992041113281,702.3662825585938,623.0775724707031,623.5230096386719,533.0837657324219,533.7351092285156
655.0492039550782,718.3162354101562,664.9526964746094,716.9578506542969,705.5540660351562,621.3288202539062,621.6184538867187,536.1280310986328,536.6085316552734
644.9071331152344,718.3592443652344,661.6132903320313,701.9172698632813,702.0522579199219,625.9016123242187,626.2524392480469,532.1950225439454,532.7470654785157
652.6571621386719,718.7477354101562,649.3195690039063,706.1296736914062,709.1763559863281,624.2288761035156,624.6720894238281,533.6102636621093,534.1505088964843
655.0156202441407,716.8831034863281,659.6703349121094,713.8285144433594,707.348865390625,623.6555964648437,624.0878052636718,536.8009849511719,537.3068822412109
641.7661519824219,720.9123851123047,657.0601028222657,710.8425104003907,709.3982341992188,609.4211264453126,609.8333494042969,537.2040567333985,537.6138978710937
648.9846703417969,719.4540221679688,658.2426458398437,705.867405234375,713.9866502539063,626.9659543847656,627.4774037304687,533.2487007470703,533.787295703125
649.6299177246094,720.0782185839844,652.6892791992187,706.0641038769531,717.0664111230469,626.2845049267578,626.6930511816406,525.7766922363281,526.2680818408203
653.2293069042969,716.9048679394531,661.6294947460938,706.0373504394531,699.7511710839843,612.3542488574219,612.7039945605469,528.8394923681641,529.3510121875
645.7953871826172,706.1936191601562,659.8314413769531,708.4144754101562,703.0488706738281,626.5420577148437,626.8295686230468,526.8352655566406,527.3253365283203
647.0541450683594,718.5676837304687,663.0743295410156,706.0959312597656,709.7439339160156,621.1797702832031,621.5085727929687,529.1741617089843,529.6567005419922
650.9800033886719,706.9412252441406,661.030367265625,703.9219764648437,706.6062182617187,617.4193149316407,617.6981865234375,530.1266544824218,530.455066928711
647.132152890625,724.2853559667968,662.5548994433594,706.1592721484375,701.1056352148438,618.9356392480469,619.2458871386718,532.6436965527344,533.2768066210938
648.7199584179688,712.7874826074219,662.3163786035157,709.8054598339844,714.6701065332031,613.6448617480469,613.9997962841796,532.3174570849609,532.7201071240235
646.3765515136719,723.2022004589844,652.5060263183594,719.8178437402344,706.2007301367188,624.9455058105468,625.3479717480469,529.2654018896484,529.7789700146484
651.8026251855468,719.8680753417968,655.1227031933594,705.0459744921875,707.6667896972656,611.8751972167969,612.2905207080078,538.6117641113282,539.2826027148437
